iter	Passed	Remaining
413	3520	6684
414	3528	6675
415	3538	6668
416	3547	6660
417	3554	6650
418	3562	6639
419	3569	6629
420	3578	6621
421	3587	6613
422	3596	6607
423	3604	6596
424	3612	6586
425	3620	6577
426	3628	6568
427	3636	6559
428	3644	6549
429	3654	6543
430	3662	6535
431	3670	6525
432	3678	6516
433	3686	6506
434	3694	6497
435	3702	6488
436	3710	6479
437	3718	6469
438	3727	6461
439	3737	6455
440	3745	6446
441	3754	6437
442	3761	6427
443	3769	6418
444	3777	6408
445	3786	6401
446	3795	6393
447	3803	6384
448	3811	6374
449	3819	6365
450	3827	6355
451	3836	6348
452	3845	6341
453	3853	6331
454	3860	6321
455	3869	6312
456	3876	6303
457	3884	6293
458	3892	6283
459	3901	6277
460	3911	6269
461	3920	6262
462	3930	6256
463	3940	6249
464	3949	6242
465	3957	6232
466	3964	6223
467	3972	6213
468	3980	6203
469	3987	6193
470	3995	6183
471	4009	6184
472	4017	6174
473	4025	6165
474	4033	6155
475	4041	6147
476	4051	6140
477	4058	6130
478	4066	6121
479	4074	6112
480	4084	6104
481	4092	6095
482	4100	6087
483	4108	6077
484	4115	6067
485	4123	6058
486	4132	6049
487	4140	6041
488	4151	6036
489	4159	6027
490	4167	6018
491	4175	6008
492	4182	5998
493	4190	5988
494	4198	5980
495	4206	5969
496	4214	5961
497	4222	5951
498	4230	5942
499	4239	5935
500	4247	5926
501	4255	5917
502	4263	5907
503	4271	5898
504	4281	5892
505	4289	5883
506	4297	5874
507	4306	5865
508	4314	5856
509	4321	5847
510	4329	5837
511	4337	5828
512	4345	5818
513	4354	5811
514	4363	5803
515	4371	5794
516	4379	5785
517	4386	5775
518	4394	5765
519	4402	5756
520	4411	5749
521	4419	5740
522	4427	5731
523	4436	5723
524	4443	5713
525	4451	5703
526	4458	5694
527	4467	5685
528	4476	5677
529	4484	5668
530	4492	5659
531	4500	5650
532	4508	5641
533	4516	5632
534	4525	5625
535	4534	5617
536	4541	5607
537	4549	5598
538	4557	5589
539	4565	5580
540	4574	5572
541	4582	5562
542	4590	5554
543	4600	5547
544	4608	5538
545	4617	5530
546	4624	5521
547	4632	5512
548	4640	5502
549	4648	5493
550	4656	5484
551	4664	5476
552	4672	5467
553	4681	5459
554	4690	5451
555	4697	5441
556	4706	5432
557	4714	5423
558	4722	5414
559	4732	5408
560	4741	5400
561	4749	5391
562	4757	5382
563	4765	5373
564	4772	5363
565	4780	5355
566	4788	5345
567	4798	5338
568	4808	5331
569	4817	5324
570	4827	5318
571	4835	5308
572	4842	5299
573	4851	5290
574	4858	5281
575	4866	5272
576	4875	5263
577	4882	5254
578	4890	5245
579	4898	5236
580	4907	5228
581	4916	5221
582	4926	5214
583	4936	5206
584	4946	5199
585	4955	5192
586	4963	5183
587	4971	5174
588	4979	5165
589	4987	5156
590	4995	5147
591	5003	5138
592	5010	5128
593	5018	5120
594	5027	5111
595	5035	5102
596	5042	5093
597	5051	5085
598	5059	5076
599	5066	5066
600	5074	5058
601	5084	5050
602	5093	5043
603	5102	5035
604	5111	5026
605	5119	5017
606	5126	5008
607	5134	4999
608	5142	4990
609	5149	4981
610	5157	4972
611	5165	4963
612	5174	4955
613	5182	4946
614	5190	4937
615	5198	4928
616	5207	4920
617	5216	4912
618	5224	4903
619	5231	4894
620	5239	4885
621	5247	4876
622	5255	4867
623	5265	4860
624	5273	4851
625	5281	4842
626	5289	4833
627	5297	4825
628	5305	4816
629	5313	4807
630	5321	4798
631	5329	4790
632	5339	4783
633	5349	4775
634	5356	4766
635	5364	4757
636	5372	4748
637	5380	4739
638	5388	4730
639	5396	4721
640	5407	4715
641	5416	4707
642	5426	4700
643	5435	4692
644	5444	4684
645	5452	4675
646	5460	4667
647	5468	4658
648	5476	4649
649	5483	4640
650	5491	4631
651	5499	4622
652	5508	4613
653	5516	4605
654	5523	4596
655	5531	4586
656	5539	4578
657	5549	4571
658	5557	4562
659	5566	4554
660	5576	4546
661	5584	4538
662	5592	4530
663	5600	4521
664	5609	4512
665	5617	4503
666	5624	4494
667	5632	4485
668	5640	4477
669	5648	4467
670	5656	4459
671	5666	4452
672	5674	4443
673	5682	4434
674	5690	4426
675	5698	4417
676	5706	4408
677	5715	4400
678	5724	4392
679	5732	4383
680	5740	4374
681	5747	4365
682	5755	4356
683	5763	4347
684	5772	4339
685	5781	4332
686	5790	4323
687	5798	4315
688	5806	4306
689	5814	4297
690	5824	4290
691	5831	4281
692	5839	4272
693	5847	4263
694	5857	4256
695	5866	4247
696	5874	4239
697	5882	4230
698	5890	4221
699	5898	4212
700	5908	4205
701	5918	4198
702	5928	4190
703	5938	4184
704	5946	4175
705	5954	4166
706	5962	4157
707	5970	4148
708	5978	4140
709	5986	4131
710	5994	4122
711	6002	4113
712	6010	4105
713	6018	4096
714	6026	4087
715	6035	4080
716	6044	4071
717	6052	4063
718	6060	4054
719	6068	4045
720	6075	4036
721	6084	4028
722	6094	4020
723	6102	4012
724	6110	4003
725	6118	3994
726	6127	3986
727	6135	3978
728	6143	3969
729	6152	3961
730	6161	3953
731	6169	3944
732	6177	3935
733	6184	3926
734	6192	3917
735	6201	3909
736	6211	3901
737	6219	3893
738	6226	3884
739	6234	3875
740	6242	3866
741	6250	3857
742	6259	3849
743	6268	3841
744	6275	3832
745	6283	3824
746	6291	3815
747	6299	3806
748	6307	3797
749	6315	3789
750	6325	3781
751	6333	3773
752	6341	3764
753	6349	3755
754	6357	3746
755	6365	3738
756	6373	3729
757	6381	3720
758	6389	3712
759	6398	3704
760	6407	3696
761	6415	3687
762	6423	3679
763	6431	3670
764	6440	3662
765	6448	3653
766	6456	3644
767	6464	3636
768	6472	3627
769	6480	3618
770	6488	3610
771	6496	3601
772	6504	3593
773	6512	3584
774	6520	3575
775	6529	3567
776	6538	3559
777	6548	3551
778	6556	3543
779	6563	3534
780	6571	3525
781	6578	3516
782	6586	3507
783	6593	3498
784	6601	3490
785	6609	3481
786	6618	3473
787	6626	3464
788	6633	3455
789	6640	3446
790	6648	3437
791	6656	3428
792	6663	3420
793	6673	3412
794	6681	3403
795	6689	3395
796	6697	3386
797	6705	3377
798	6713	3369
799	6721	3360
800	6728	3351
801	6738	3344
802	6747	3335
803	6754	3326
804	6764	3319
805	6772	3310
806	6780	3301
807	6789	3294
808	6798	3285
809	6806	3277
810	6814	3268
811	6822	3260
812	6830	3251
813	6838	3242
814	6846	3234
815	6853	3225
816	6861	3216
817	6870	3208
818	6879	3200
819	6887	3191
820	6897	3184
821	6906	3176
822	6916	3168
823	6925	3160
824	6933	3151
825	6941	3143
826	6949	3134
827	6957	3125
828	6966	3117
829	6974	3108
830	6981	3100
831	6990	3091
832	6998	3083
833	7006	3074
834	7016	3066
835	7025	3058
836	7035	3051
837	7044	3043
838	7054	3035
839	7064	3027
840	7073	3019
841	7082	3011
842	7090	3002
843	7098	2994
844	7107	2985
845	7115	2977
846	7123	2968
847	7131	2960
848	7139	2951
849	7147	2942
850	7155	2934
851	7163	2925
852	7170	2917
853	7178	2908
854	7186	2899
855	7194	2891
856	7204	2883
857	7212	2875
858	7221	2866
859	7229	2858
860	7237	2849
861	7245	2840
862	7255	2833
863	7264	2824
864	7271	2816
865	7280	2807
866	7288	2799
867	7296	2790
868	7304	2782
869	7313	2773
870	7323	2766
871	7332	2757
872	7340	2749
873	7348	2741
874	7356	2732
875	7365	2724
876	7372	2715
877	7380	2706
878	7387	2697
879	7395	2689
880	7403	2680
881	7412	2672
882	7420	2664
883	7429	2655
884	7436	2646
885	7445	2638
886	7454	2630
887	7462	2622
888	7470	2613
889	7478	2604
890	7486	2596
891	7494	2587
892	7503	2579
893	7511	2571
894	7518	2562
895	7529	2554
896	7537	2546
897	7545	2537
898	7554	2529
899	7561	2520
900	7569	2512
901	7577	2503
902	7586	2495
903	7595	2487
904	7603	2478
905	7611	2469
906	7618	2461
907	7626	2452
908	7634	2443
909	7642	2435
910	7649	2426
911	7659	2418
912	7668	2410
913	7676	2401
914	7683	2393
915	7692	2384
916	7699	2376
917	7708	2367
918	7716	2359
919	7725	2351
920	7734	2342
921	7742	2334
922	7750	2325
923	7757	2317
924	7765	2308
925	7773	2300
926	7783	2292
927	7792	2284
928	7802	2276
929	7811	2267
930	7818	2259
931	7827	2250
932	7834	2242
933	7843	2233
934	7851	2225
935	7858	2216
936	7867	2208
937	7875	2199
938	7883	2191
939	7891	2182
940	7901	2174
941	7911	2166
942	7920	2158
943	7931	2150
944	7939	2142
945	7947	2133
946	7955	2125
947	7963	2116
948	7971	2108
949	7978	2099
950	7986	2091
951	7995	2082
952	8002	2074
953	8010	2065
954	8018	2057
955	8026	2048
956	8035	2040
957	8044	2032
958	8053	2023
959	8063	2015
960	8071	2007
961	8079	1998
962	8087	1990
963	8094	1981
964	8102	1973
965	8111	1964
966	8118	1956
967	8126	1947
968	8134	1939
969	8141	1930
970	8149	1922
971	8157	1913
972	8164	1904
973	8171	1896
974	8180	1887
975	8191	1879
976	8200	1871
977	8209	1863
978	8216	1854
979	8225	1846
980	8233	1838
981	8241	1829
982	8248	1820
983	8256	1812
984	8263	1803
985	8270	1795
986	8278	1786
987	8286	1778
988	8295	1769
989	8302	1761
990	8310	1752
991	8318	1744
992	8325	1735
993	8335	1727
994	8345	1719
995	8354	1711
996	8362	1702
997	8371	1694
998	8379	1685
999	8387	1677
1000	8395	1669
1001	8404	1660
1002	8411	1652
1003	8419	1643
1004	8427	1635
1005	8434	1626
1006	8443	1618
1007	8451	1609
1008	8458	1601
1009	8466	1592
1010	8474	1584
1011	8482	1575
1012	8492	1567
1013	8500	1559
1014	8509	1551
1015	8517	1542
1016	8525	1534
1017	8534	1525
1018	8543	1517
1019	8551	1509
1020	8560	1500
1021	8568	1492
1022	8576	1483
1023	8584	1475
1024	8593	1467
1025	8600	1458
1026	8608	1450
1027	8616	1441
1028	8624	1433
1029	8634	1425
1030	8643	1416
1031	8650	1408
1032	8658	1399
1033	8666	1391
1034	8674	1382
1035	8683	1374
1036	8690	1366
1037	8698	1357
1038	8707	1349
1039	8717	1341
1040	8725	1332
1041	8733	1324
1042	8741	1315
1043	8749	1307
1044	8756	1298
1045	8764	1290
1046	8774	1282
1047	8783	1273
1048	8790	1265
1049	8797	1256
1050	8805	1248
1051	8814	1240
1052	8822	1231
1053	8830	1223
1054	8838	1214
1055	8846	1206
1056	8854	1197
1057	8862	1189
1058	8869	1180
1059	8879	1172
1060	8889	1164
1061	8899	1156
1062	8909	1148
1063	8918	1140
1064	8927	1131
1065	8935	1123
1066	8942	1114
1067	8950	1106
1068	8958	1097
1069	8966	1089
1070	8974	1080
1071	8982	1072
1072	8990	1064
1073	8998	1055
1074	9006	1047
1075	9013	1038
1076	9022	1030
1077	9031	1022
1078	9040	1013
1079	9048	1005
1080	9056	996
1081	9065	988
1082	9072	980
1083	9080	971
1084	9088	963
1085	9098	955
1086	9106	946
1087	9114	938
1088	9121	929
1089	9129	921
1090	9136	912
1091	9144	904
1092	9152	896
1093	9162	887
1094	9170	879
1095	9179	871
1096	9187	862
1097	9196	854
1098	9203	845
1099	9211	837
1100	9219	829
1101	9229	820
1102	9238	812
1103	9245	803
1104	9253	795
1105	9261	787
1106	9271	778
1107	9281	770
1108	9289	762
1109	9297	753
1110	9305	745
1111	9314	737
1112	9322	728
1113	9330	720
1114	9339	711
1115	9347	703
1116	9356	695
1117	9365	686
1118	9373	678
1119	9381	670
1120	9389	661
1121	9397	653
1122	9405	644
1123	9413	636
1124	9421	628
1125	9430	619
1126	9440	611
1127	9447	603
1128	9455	594
1129	9463	586
1130	9471	577
1131	9479	569
1132	9488	561
1133	9496	552
1134	9504	544
1135	9513	535
1136	9522	527
1137	9530	519
1138	9538	510
1139	9547	502
1140	9555	494
1141	9562	485
1142	9570	477
1143	9579	468
1144	9588	460
1145	9597	452
1146	9604	443
1147	9612	435
1148	9620	427
1149	9628	418
1150	9636	410
1151	9644	401
1152	9652	393
1153	9659	385
1154	9669	376
1155	9678	368
1156	9685	359
1157	9693	351
1158	9701	343
1159	9709	334
1160	9719	326
1161	9728	318
1162	9736	309
1163	9744	301
1164	9751	292
1165	9759	284
1166	9767	276
1167	9775	267
1168	9786	259
1169	9794	251
1170	9802	242
1171	9810	234
1172	9818	225
1173	9825	217
1174	9833	209
1175	9842	200
1176	9852	192
1177	9861	184
1178	9869	175
1179	9877	167
1180	9887	159
1181	9897	150
1182	9907	142
1183	9917	134
1184	9925	125
1185	9932	117
1186	9941	108
1187	9948	100
1188	9957	92
1189	9965	83
1190	9973	75
1191	9981	66
1192	9989	58
1193	9997	50
1194	10005	41
1195	10014	33
1196	10023	25
1197	10032	16
1198	10040	8
1199	10048	0
